Name,Street Address,City,State,Zip Code,Cross Streets,Neighborhood,Phone,Description,Business Owner,Merchant Verified,Paid Listing,Rating,Reviews,Website,Price Range,Hours,Takes Reservations,Delivery,Take Out,Accepts Credit Cards,Good For,Parking,Wheelchair Accessable,Good For Kids,Good For Groups,Attire,Ambience,Noise Level,Music,Dancing,Serves Alcohol,Happy Hour,Best Nights,Coat Check,Smoking Allowed,Outdoor Seating,Wifi,Has Tv,Allows Dogs,Waiter Service,Caters,By Appointment Only,Category,Lat,Long,Image URL,Listing URL,Deal,Deal Description,Deal Orignal Price,Deal Discount,Deal Savings,Deal Link
Tutor Me LA,1093 Broxton Ave Ste 240,Los Angeles,CA,90024,,"Westwood, UCLA",(310) 896-8625,"Experienced tutors by appointment in the security of your own home or public place, such as the library, cafe, etc..Prices are starting at only $40/Hr for any subject!Our highly …Learn more about Tutor Me LA, Opens a popupSpecialtiesExperienced tutors by appointment in the security of your own home or public place, such as the library, cafe, etc..Prices are starting at only $40/Hr for any subject!Our highly personalized academic staff is experienced with the knowledge and skills needed to ensure the success of each student. In addition to providing expert and engaging one-on-one tutoring in the core curricular areas, our staff is equipped with a wide array of credentials from prestigious universities like UCLA which can guarantee that every students needs be met.HistoryEstablished in 2009.Our company was started by a group of UCLA graduates who recognized the surplus of struggling students that had the potential to succeed but were not properly motivated. They set out to lend a hand to others on their free time, between their own academic schedules. This pursuit to educate and assist their peers soon turned into a passion that has grown into a thriving company which has aided countless students in achieving their goals!Meet the Manager",,Yes,No,5.0 star rating,117 reviews,http://www.tutormela.com/,,Mon 9:00 am - 8:00 pm<br>Tue 9:00 am - 8:00 pm<br>Wed 9:00 am - 8:00 pm<br>Thu 9:00 am - 8:00 pm<br>Fri 9:00 am - 8:00 pm<br>Sat 9:00 am - 8:00 pm<br>Sun 9:00 am - 8:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Test Preparation, Tutoring Centers, Private Tutors, Test Preparation, Tutoring Centers",,,https://s3-media1.fl.yelpcdn.com/bphoto/Rs7ZnFTQOk2pY3ktI7swDA/ls.jpg,http://www.yelp.com/biz/tutor-me-la-los-angeles-2?osq=Tutoring,$10 for $20 Deal at Tutor Me LA,You get a voucher redeemable for $20 at Tutor Me LA.,$20,50%,$10,https://www.yelp.com/checkout/deal/jxf4uoq_ICGNprL7YkbZEw?biz_id=phCf8WCK6KyfnhCSkIhl4g&return_url=%2Fbiz%2Ftutor-me-la-los-angeles-2
A+ Tutoring,13273 Ventura Blvd Ste 207,Studio City,CA,91604,,Sherman Oaks,(818) 850-6284,"A+ Tutoring has been working together with students, parents, and schools to improve the quality of knowledge that each child receives. Whether your needs are in Math, English, …Learn more about A+ Tutoring, Opens a popupSpecialtiesA+ Tutoring has been working together with students, parents, and schools to improve the quality of knowledge that each child receives. Whether your needs are in Math, English, History, Science, or Study Skills. A+ Tutoring will provide you with the highest level of tutoring. All in the comfort of your home.The ability to learn has been questioned and studied by greats such as Plato and Aristotle, and yet we are in a world where our children are having difficulties in school. Is it normal for a child to not understand how to do their homework, is it normal for a child to struggle? At A+ Tutoring our answer is NO! First and foremost, we are educators, caring professionals that have dedicated their lives to helping children.As a teacher I have seen students struggle with understanding material. These are bright young minds that are capable of conquering any challenge, however we see them under perform. As parents we look at our children and want only the best for them. At A+ Tutoring our beleif is that every child can and will learn with the proper resources. Our state credentialed teachers are experts in their field and will provide your child with the highest quality instruction that will guide them to a brighter future.With the use of technology learning has changed from what it was a simple 10 years ago. We believe that with the use of technology our students can be engaged not just during the tutoring lesson, but throughout the day...HistoryEstablished in 2010.A+ Tutoring was started at the heart of the fiscal crisis facing California Schools. Our mission is to provide high quality, affordable in home tutoring to students of all ages, and from all demographics. A large majority of our tutors are LAUSD educators, and we strive to provide our students with the best possible in home tutoring experience.Meet the Business Owner",Roman S.,Yes,No,5.0 star rating,90 reviews,http://www.wetutorathome.com,,Mon 8:00 am - 11:00 pm<br>Tue 8:00 am - 11:00 pm<br>Wed 8:00 am - 11:00 pm<br>Thu 8:00 am - 11:00 pm<br>Fri 8:00 am - 11:00 pm<br>Sat 8:00 am - 11:00 pm<br>Sun 8:00 am - 11:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Test Preparation, College Counseling, Test Preparation, Private Tutors, Tutoring Centers, Private Tutors, Test Preparation, College Counseling",,,https://s3-media3.fl.yelpcdn.com/bphoto/trNdakCFqV2O8OjfSPVvyw/ls.jpg,http://www.yelp.com/biz/a-tutoring-studio-city?osq=Tutoring,$65 for $85 Deal at A+ Tutoring,You get a voucher redeemable for $85 at A+ Tutoring.,$85,24%,$20,https://www.yelp.com/checkout/deal/TRyrUMisn925X4Hd5AS-YA?biz_id=zMWyOZgMilMp9jBXcZimPw&return_url=%2Fbiz%2Fa-tutoring-studio-city
Brighter Minds Tutoring,,Beverly Hills,CA,90210,,Sherman Oaks,(866) 294-8433,"In-home tutoring now serving Brentwood, Pacific Palisades, Westwood, Bel Air, and Santa Monica! Grades K-12. Taught by the very best teachers and tutors, Brighter Minds Tutoring is …Learn more about Brighter Minds Tutoring, Opens a popupSpecialtiesIn-home tutoring now serving Brentwood, Pacific Palisades, Westwood, Bel Air, and Santa Monica! Grades K-12. Taught by the very best teachers and tutors, Brighter Minds Tutoring is the most affordable in Los Angeles. We provide tutoring for all classroom subjects and comprehensive standardized test preparation (ACT /SAT/ ISEE/AP Test Prep) Subjects include (English, History, Mathematics, Science, Spanish, French, Mandarin, Reading comprehension, study skills and test preparation) We tutor all the subjects in the honors and AP level as well.Our expert college counselors provide students with the necessary support to thrive in the college admissions process.Specialized instructors for special needs such as ADD, ADHD and organizational skills also available. We provide students with impactful mentoring and enrichment that transforms lives!Meet the Business Owner",Nicole S.,Yes,No,5.0 star rating,118 reviews,http://www.brightermindstutoring.com/,,Mon 9:00 am - 6:00 pm<br>Tue 9:00 am - 6:00 pm<br>Wed 9:00 am - 6:00 pm<br>Thu 9:00 am - 6:00 pm<br>Fri 9:00 am - 6:00 pm<br>Sat 9:00 am - 6:00 pm<br>Sun 9:00 am - 4:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Tutoring Centers, Test Preparation, Private Tutors, Tutoring Centers, Test Preparation",,,https://s3-media4.fl.yelpcdn.com/bphoto/NVX40GmdidKKQQz6w4xhqw/ls.jpg,http://www.yelp.com/biz/brighter-minds-tutoring-beverly-hills-2?osq=Tutoring,,,,,,
Beach Cities Tutoring,,Manhattan Beach,CA,90266,,Mar Vista,(310) 210-4415,"Beach Cities Tutoring provides private In-home tutoring in all subjects K-University as well as SAT/ACT/ISEE/AP Test Prep, Spanish, editing services, homeschooling, and college …Learn more about Beach Cities Tutoring, Opens a popupSpecialtiesBeach Cities Tutoring provides private In-home tutoring in all subjects K-University as well as SAT/ACT/ISEE/AP Test Prep, Spanish, editing services, homeschooling, and college application consulting in the comfort of your own home. We currently serves Manhattan Beach,Redondo Beach, Hermosa Beach, El Segundo, Torrance, and the Westside. Beach Cities Tutoring was founded by a Special Education teacher with fifiteen years of classroom experience. Therefore, we serve students with all different needs and learning styles. Many Beach Cities' tutors have teaching credentials and/or Master's Degrees. We have a variety of tutors with different expertise to best match with your child or teen.We are available weekdays and weekends as well as holidays/summer breaks.After assessing the student's needs, tutors will determine if supplemental materials are needed and create a curriculum if necessary. Some tutors can provide tutoring in multiple subjects within one session. We also offer group tutoring for reduced hourly rates.HistoryEstablished in 2012.Beach Cities Tutoring has rapidly grown in the last 5 years. Its creator has tutored in all subjects for the last fifteen years in the South Bay. In addition, she has her Master's Degree in Special Education, three teaching credentials, and 15 years of teaching experience in the public schools grades K-12.Meet the Business Owner",Ivie S.,Yes,No,5.0 star rating,32 reviews,http://www.beachcitiestutoring.com,,Mon 8:00 am - 10:00 pm<br>Tue 8:00 am - 10:00 pm<br>Wed 8:00 am - 10:00 pm<br>Thu 8:00 am - 10:00 pm<br>Fri 8:00 am - 10:00 pm<br>Sat 8:00 am - 10:00 pm<br>Sun 8:00 am - 10:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Tutoring Centers, Test Preparation, Private Tutors, Tutoring Centers, Test Preparation",,,https://s3-media3.fl.yelpcdn.com/bphoto/qzRZolzhzXsF_6HdinnZUg/ls.jpg,http://www.yelp.com/biz/beach-cities-tutoring-manhattan-beach?osq=Tutoring,,,,,,
Danny’s Tutoring,,Thousand Oaks,CA,91360,,Encino,(818) 584-6851,"Here at Danny's Tutoring, we have come together to offer your children the opportunity to receive quality tutoring at an unbeatable price! Danny's tutors are fun and engaging …Learn more about Danny’s Tutoring, Opens a popupSpecialtiesHere at Danny's Tutoring, we have come together to offer your children the opportunity to receive quality tutoring at an unbeatable price! Danny's tutors are fun and engaging teenagers who have mastered the material. We can assist in every subject for students K-12 and even some college courses! Our flexible tutors are willing to commute to Agoura Hills, Westlake, Oak Park, Thousand Oaks, Newbury Park, Calabasas, Woodland Hills, West Hills, Chatsworth, Tazana, Encino, Sherman Oaks, Studio City, Westwood, Goleta, and more. We pride ourselves on our services, especially our unbeatable prices! Call us today to schedule your first lesson!HistoryEstablished in 2009.Go to our website and check out how Danny started Danny's Tutoring!Meet the Business Owner",Danny K.,Yes,No,5.0 star rating,46 reviews,http://www.dannystutoring.com,,Mon 8:00 am - 10:00 pm<br>Tue 8:00 am - 10:00 pm<br>Wed 8:00 am - 10:00 pm<br>Thu 8:00 am - 10:00 pm<br>Fri 8:00 am - 10:00 pm<br>Sat 8:00 am - 10:00 pm<br>Sun 8:00 am - 10:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Tutoring Centers, Private Tutors, Tutoring Centers",,,https://s3-media1.fl.yelpcdn.com/bphoto/Tzv3wz7x8S-UcSkhA8Oq8g/ls.jpg,http://www.yelp.com/biz/dannys-tutoring-thousand-oaks?osq=Tutoring,,,,,,
310TUTORS,1306 Wilshire Blvd,Santa Monica,CA,90403,,Pacific Palisades,(310) 434-9944,"310TUTORS is educating a new generation with effective after-school tutoring, a state-of-the-art learning center, comprehensive test prep for the PSAT, SAT, ACT & ISEE, personalized …Learn more about 310TUTORS, Opens a popupSpecialties310TUTORS is educating a new generation with effective after-school tutoring, a state-of-the-art learning center, comprehensive test prep for the PSAT, SAT, ACT & ISEE, personalized math, reading and writing programs, summer learning courses. In addition to providing quality tutoring and skills training, we tailor tutoring to different learning styles, and monitor student progress. That is the 310TUTORS difference; we raise tutoring to a whole new level.* Tutoring is available seven days a week by appointment.HistoryEstablished in 2004.Lifelong educators and Westside residents providing quality instruction to Westside students.Meet the Manager",,Yes,No,5.0 star rating,13 reviews,http://310tutors.com,,Mon 12:00 pm - 7:30 pm<br>Tue 12:00 pm - 7:30 pm<br>Wed 12:00 pm - 7:30 pm<br>Thu 12:00 pm - 7:30 pm<br>Fri Closed<br>Sat 10:00 am - 2:00 pm<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tutoring Centers, Private Tutors, Test Preparation, Tutoring Centers, Private Tutors, Test Preparation",,,https://s3-media2.fl.yelpcdn.com/bphoto/9BW6DCX7OHVB8iGwfUx6pA/ls.jpg,http://www.yelp.com/biz/310tutors-santa-monica-2?osq=Tutoring,,,,,,
A+ Tutoring,1875 Century Park E Suite,Los Angeles,CA,90067,,Century City,(323) 515-0123,"One-on-One In Home Tutoring Service serving Los Angeles.A+ Tutoring is one of the best private 1-on-1 tutoring services offered in Los Angeles. The credentialed private in home …Learn more about A+ Tutoring, Opens a popupSpecialtiesOne-on-One In Home Tutoring Service serving Los Angeles.A+ Tutoring is one of the best private 1-on-1 tutoring services offered in Los Angeles. The credentialed private in home tutors we provide all possess many years of experience both inside and outside of the classroom, and some of them are graduate students ready to share their knowledge, tricks, and techniques with your children to help them achieve higher grades, greater understanding of subject material, and most importantly - a better education.A+ Tutoring - One on One Private In Home Tutoring ExpertsThe ability to learn has been questioned and studied by greats such as Plato and Aristotle, and yet we are in a world where our children are having difficulties in school. Is it normal for a child to not understand how to do their homework, is it normal for a child to struggle? At A+ Tutoring our answer is NO. First and foremost, we are educators, caring professionals that have dedicated their lives to helping children.As a teacher I have seen students struggle with understanding material. These are bright young minds that are capable of conquering any challenge, however we see them under perform. As parents we look at our children and want only the best for them. At A+ Tutoring our belief is that every child can and will learn with the proper resources...HistoryEstablished in 2010.A+ Tutoring was started at the heart of the fiscal crisis facing California Schools. Our mission is to provide high quality, affordable in home tutoring to students of all ages, and from all demographics. A large majority of our tutors are LAUSD educators, and we strive to provide our students with the best possible in home tutoring experience.Meet the Business Owner",Roman S.,Yes,No,5.0 star rating,25 reviews,http://www.aplustutoringla.com,,Mon 7:00 am - 11:00 pm<br>Tue 7:00 am - 11:00 pm<br>Wed 7:00 am - 11:00 pm<br>Thu 7:00 am - 11:00 pm<br>Fri 7:00 am - 11:00 pm<br>Sat 7:00 am - 11:00 pm<br>Sun 7:00 am - 11:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Private Tutors",,,https://s3-media4.fl.yelpcdn.com/bphoto/geS0Vpvpdz9Yrh6WhpLrgQ/ls.jpg,http://www.yelp.com/biz/a-tutoring-los-angeles?osq=Tutoring,$65 for $85 Deal at A+ Tutoring,You get a voucher redeemable for $85 at A+ Tutoring.,$85,24%,$20,https://www.yelp.com/checkout/deal/n1iKJrQfWkmAyhswFvVy-A?biz_id=WJv96XsHmd_J-9iodmYrgg&return_url=%2Fbiz%2Fa-tutoring-los-angeles
Whiz Tutor,,Santa Clarita,CA,91350,,,(661) 388-0381,"Our tutors have helped hundreds of students grades K-12 to college earn better grades simply by breaking down each subject into bite sized portions that any one can understand.Learn more about Whiz Tutor, Opens a popupSpecialtiesOur tutors have helped hundreds of students grades K-12 to college earn better grades simply by breaking down each subject into bite sized portions that any one can understand.HistoryEstablished in 2015.My brother, Brett has been a professional tutor for the past 10 years and recently received his Master's Degree in Physics. During his tutoring career he would always think about how he could make the process of finding and scheduling a tutor much simpler. We believe in higher education and our goal is to make one-on-one learning convenient, simple to schedule, and affordable. With the advent of on-demand services and shared marketplaces like Uber, Lyft, and Airbnb we knew tutoring was ready for a change. We put together a team of individuals who were more than capable of bringing this idea to life. Since 2015 we have had hundreds of tutoring sessions take place all throughout Santa Clarita Valley and students couldn't be happier with their academic achievements.Get started with us today and see for yourself why parents and students are raving about Whiz Tutor.Meet the Business Owner",Justin C.,Yes,No,5.0 star rating,18 reviews,http://whiztutorapp.com,,Mon 8:00 am - 10:00 pm<br>Tue 8:00 am - 10:00 pm<br>Wed 8:00 am - 10:00 pm<br>Thu 8:00 am - 10:00 pm<br>Fri 8:00 am - 10:00 pm<br>Sat 8:00 am - 10:00 pm<br>Sun 8:00 am - 10:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tutoring Centers, Private Tutors, Test Preparation, Auto Detailing, Car Wash, Burgers, Pest Control, Tutoring Centers, Private Tutors, Test Preparation",,,https://s3-media2.fl.yelpcdn.com/bphoto/EWgkafOom3D9ndPDc6dnRg/ls.jpg,http://www.yelp.com/biz/whiz-tutor-santa-clarita?osq=Tutoring,$20 for $40 Deal at Whiz Tutor,You get a voucher redeemable for $40 at Whiz Tutor.,$40,50%,$20,https://www.yelp.com/checkout/deal/maQx8y9V1NLrd6daeWFr9Q?biz_id=6FXFP6Bn5gASiVf-zOdctw&return_url=%2Fbiz%2Fwhiz-tutor-santa-clarita
C2 Education of Los Angeles,5001 Wilshire Blvd Ste 214,Los Angeles,CA,90036,,Hancock Park,(323) 937-1300,"C2 provides local students with face-to-face, fully personalized academic programs. We specialize in K-12 tutoring in all subjects and can help your child with everything from …Learn more about C2 Education of Los Angeles, Opens a popupSpecialtiesC2 provides local students with face-to-face, fully personalized academic programs. We specialize in K-12 tutoring in all subjects and can help your child with everything from grammar and reading comprehension to calculus and chemistry as well as Standardized Test Preparation for the SAT, ACT, PSAT, AP / SAT Subject Exams and SSAT/ISEE. We are experts in College Admissions and Applications, and students or parents can walk in any time to talk with a C2 Center Director for School or College Admissions Guidance. The National Tutoring Association recognizes C2 Education as the 2016-17 National Tutoring Association Program of the Year.Factors that set C2 apart:* C2's program is unique for each student, based on an assessment of strengths and weaknesses so we can tailor lessons accordingly.* C2 provides expert instruction along with a flexible teaching environment and easy access to a variety of skilled tutors.* C2's rigorous hiring process requires all C2 tutors to score above the 95th percentile in their fields.* C2 tutors are mentors who connect with students and encourage them to stay motivated. There's nothing one-size-fits-all about us. Our expertise, personalized curricula, college admissions resources, and highly qualified tutors set us apart.Products: K-12 Personalized Tutoring in all subjects; SAT Prep, ACT Prep, PSAT Prep, AP Exam Prep, SAT Subject Test Prep, SSAT/ISEE Prep; College Admissions Guidance, Applications and Essays; Study Skills; Summer ProgramsHistoryEstablished in 1997.In 1997, C2 Education began as a private tutoring program run out of a Harvard University dorm room. Since then, C2 has grown to include over 190 centers nationwide, serving over 12,000 students and their families each week. The nation's fastest-growing network of personalized K-12 tutoring and SAT, PSAT, ACT, and AP Exam preparation centers, offers customized curricula, personalized attention and a wide variety of enrichment services for students in elementary school, middle school, and high school. C2 Education centers can be found in California, Connecticut, Georgia, Florida, Illinois, Maryland, New Jersey, New York, North Carolina, Oregon, Pennsylvania, Tennessee, Texas, Virginia, Washington, and Canada.",,Yes,No,5.0 star rating,11 reviews,https://www.c2educate.com/locations/los-angeles-ca/%3Futm_source%3Dyelp%26utm_medium%3Dorganic%26utm_campaign%3Dlocal,,Mon 9:00 am - 7:30 pm<br>Tue 9:00 am - 7:30 pm<br>Wed 9:00 am - 7:30 pm<br>Thu 9:00 am - 7:30 pm<br>Fri 9:00 am - 7:30 pm<br>Sat 9:00 am - 5:30 pm<br>Sun Closed<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Test Preparation, Tutoring Centers, Private Tutors, Test Preparation, Tutoring Centers, Private Tutors",34.062491,-118.339137,https://s3-media4.fl.yelpcdn.com/bphoto/LZ27gqa_JgjKijYJIf5PNw/ls.jpg,http://www.yelp.com/biz/c2-education-of-los-angeles-los-angeles?osq=Tutoring,,,,,,
The Burbank Tutor,2212 N Reese Pl,Burbank,CA,91504,,Burbank,(818) 606-5390,"The Burbank Tutor specializes in one-on-one tutoring for high school students in SAT/ACT Test Prep, Algebra, Geometry and Writing.Students find Pam to be an effective, caring coach …Learn more about The Burbank Tutor, Opens a popupSpecialtiesThe Burbank Tutor specializes in one-on-one tutoring for high school students in SAT/ACT Test Prep, Algebra, Geometry and Writing.Students find Pam to be an effective, caring coach with a personalized approach.Pam uses her extensive knowledge of study skills, learning styles, teaching techniques and test prep to help students master skills, build confidence and succeed academically.Pam has been assisting students for over twenty years as a tutor, teacher and college instructor. She completed her undergraduate work at Harvard University and Amherst College before receiving her MFA from Columbia University.HistoryEstablished in 2003.The Burbank Tutor has been assisting students in and around Burbank for over ten years.Before opening the business, Pam taught college for eight years and tutored at several of the high profile test prep companies.She has spent most of her adult life in education.She has lived in Burbank for over twenty years and is thrilled to be helping students in the neighborhood.Meet the Business Owner",Pam B.,Yes,No,5.0 star rating,10 reviews,http://www.theburbanktutor.com,,Mon 10:00 am - 8:00 pm<br>Tue 10:00 am - 8:00 pm<br>Wed 10:00 am - 8:00 pm<br>Thu 10:00 am - 8:00 pm<br>Fri 10:00 am - 6:00 pm<br>Sat 9:00 am - 4:00 pm<br>Sun 9:00 am - 2:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Private Tutors",,,https://s3-media2.fl.yelpcdn.com/bphoto/YlsBr7lmpbf4PkzC4Y0S7g/ls.jpg,http://www.yelp.com/biz/the-burbank-tutor-burbank?osq=Tutoring,,,,,,
Protégé Tutoring,4225 Longridge Ave,Studio City,CA,91604,,Studio City,(818) 538-8099,,,Yes,No,5.0 star rating,3 reviews,http://www.protegetutors.com,,Mon 10:00 am - 9:00 pm<br>Tue 10:00 am - 9:00 pm<br>Wed 10:00 am - 9:00 pm<br>Thu 10:00 am - 9:00 pm<br>Fri 10:00 am - 9:00 pm<br>Sat 9:00 am - 6:00 pm<br>Sun 10:00 am - 6:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Private Tutors, Test Preparation, Private Tutors, Test Preparation",,,https://s3-media4.fl.yelpcdn.com/bphoto/4H6l1VV67uo9HMOmtIyuFQ/ls.jpg,http://www.yelp.com/biz/prot%C3%A9g%C3%A9-tutoring-studio-city?osq=Tutoring,,,,,,
Know it All Tutors,24372 Vanowen St Ste 103,West Hills,CA,91307,,West Hills,(818) 472-9404,"Where you go to Know!SAT and ACT Test PrepAll SubjectsWe have been providing one to one success for students of all ages for the past 20 years. We can have a Know It All come to …Learn more about Know it All Tutors, Opens a popupSpecialtiesWhere you go to Know!SAT and ACT Test PrepAll SubjectsWe have been providing one to one success for students of all ages for the past 20 years. We can have a Know It All come to your home or you can choose to come to our office in West Hills.HistoryEstablished in 2013.Know It All Tutors is the inception of two individuals with different backgrounds. One has 20 years experience in the classroom, while the other has 20 years as an educational entrepreneur. They teamed up to bring their knowledge and know how to offer the best one to one tutoring service in the San Fernando Valley.Meet the Business Owner",Raphael H.,Yes,No,5.0 star rating,12 reviews,http://www.knowitallnow.com,,Mon 8:00 am - 9:00 pm<br>Tue 8:00 am - 9:00 pm<br>Wed 8:00 am - 9:00 pm<br>Thu 8:00 am - 9:00 pm<br>Fri 8:00 am - 9:00 pm<br>Sat 8:00 am - 9:00 pm<br>Sun 8:00 am - 9:00 pm<br>,,,,,,,,,,,,,,,,,,,,,,,,,,,"Test Preparation, Private Tutors, Private Tutors, Test Preparation, Private Tutors, Test Preparation, Test Preparation, Private Tutors",,,https://s3-media1.fl.yelpcdn.com/bphoto/cl5_RmGYiAkUYYab5J-yrA/ls.jpg,http://www.yelp.com/biz/know-it-all-tutors-west-hills?osq=Tutoring,$72 for $90 Deal at Know it All Tutors,You get a voucher redeemable for $90 at Know it All Tutors.,$90,20%,$18,https://www.yelp.com/checkout/deal/gv7ncQtuBuWmZFnaHnMlfQ?biz_id=kWIqpkwYQLHzdfg1tVyltg&return_url=%2Fbiz%2Fknow-it-all-tutors-west-hills
